Category,Core,Problem Short Description,Problem Long Description,Classification,Device Name,Instance,Metric,Detail,Metric Description
Server,Scalability,Logical Disk Exhaustion,Do you have Windows disks that are running out of space (i.e. > 90% utilized)?,problem,BIORX-FS01,E:,95,Logical Disk Utilization,Logical Disk Utilization
Server,Scalability,Logical Disk Exhaustion,Do you have Windows disks that are running out of space (i.e. > 90% utilized)?,problem,BIORX-SQLTEST01,E:,114,Logical Disk Utilization,Logical Disk Utilization
Server,Performance,Disk Latency,Do you have physical disks that show 95th Percentile Disk latency > 40 ms?,problem,BIORX-SQL01,G:,1317,Physical Disk Latency (ms),Physical Disk Latency (ms)
Server,Performance,Disk Latency,Do you have physical disks that show 95th Percentile Disk latency > 40 ms?,problem,BIORX-VEEAM01,T:,856,Physical Disk Latency (ms),Physical Disk Latency (ms)
Network,Reliability,Routing Protocol,"Do you have a mix of routing protocols (OSPF, Static, RIP, EIGRP, BGP)?",problem,,local,38,num of routes by protocol,num of routes by protocol
Network,Reliability,Routing Protocol,"Do you have a mix of routing protocols (OSPF, Static, RIP, EIGRP, BGP)?",problem,,netmgmt,32,num of routes by protocol,num of routes by protocol
Network,Reliability,Routing Protocol,"Do you have a mix of routing protocols (OSPF, Static, RIP, EIGRP, BGP)?",problem,,other,114,num of routes by protocol,num of routes by protocol
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Cisco WebEx Meeting Center,1,Cisco WebEx Meeting Center Version: 31.4.0.44,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Messenger Companion,6,Messenger Companion Version: 15.4.3502.0922,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Microsoft Office Live Meeting 2007,1,Microsoft Office Live Meeting 2007 Version: 8.0.6362.202,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Microsoft Office Live Meeting 2007,2,Microsoft Office Live Meeting 2007 Version: 8.0.6362.215,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Microsoft Office Live Meeting 2007,1,Microsoft Office Live Meeting 2007 Version: 8.0.6362.223,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Microsoft Office Live Meeting 2007,1,Microsoft Office Live Meeting 2007 Version: 8.0.6362.254,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Microsoft Skype for Business MUI (English) 2016,7,Microsoft Skype for Business MUI (English) 2016 Version: 16.0.4266.1001,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,NA1Messenger,2,NA1Messenger Version: 17.00.0000,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,NA1Messenger,2,NA1Messenger Version: 19.00.0000,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,NA1Messenger,1,NA1Messenger Version: 21.00.0000,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,WebEx Productivity Tools,2,WebEx Productivity Tools Version: 32.7.0.47,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Windows Live Communications Platform,14,Windows Live Communications Platform Version: 15.4.3502.0922,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Windows Live Communications Platform,26,Windows Live Communications Platform Version: 16.4.3505.0912,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Windows Live Messenger,14,Windows Live Messenger Version: 15.4.3502.0922,Installs of Unique IM/Chat Client
UC,Optimization,Too Many IM/Chat Applications,Are there more than 2 IM / Chat clients deployed?,problem,,Windows Live Messenger Companion Core,6,Windows Live Messenger Companion Core Version: 15.4.3502.0922,Installs of Unique IM/Chat Client
Network,Scalability,Network Software Consistency,Do you have the same IOS on all Network devices that have the same major family model?,problem,,,2,,Software Versions on Family
Network,Scalability,Network Software Consistency,Do you have the same IOS on all Network devices that have the same major family model?,problem,,1.0.0.44,2,2848,Software Versions on Family
Network,Scalability,Network Software Consistency,Do you have the same IOS on all Network devices that have the same major family model?,problem,,,16,enterprises.8741.1,Software Versions on Family
Network,Scalability,Network Software Consistency,Do you have the same IOS on all Network devices that have the same major family model?,problem,,YA.15.19,1,hpEtherSwitch.137,Software Versions on Family
Network,Scalability,Network Software Consistency,Do you have the same IOS on all Network devices that have the same major family model?,problem,,YA.15.19,1,hpEtherSwitch.138,Software Versions on Family
Network,Scalability,Network Software Consistency,Do you have the same IOS on all Network devices that have the same major family model?,problem,,WB.15.05,1,hpicfStacks.3,Software Versions on Family
