Problem Short Description,Device Name,Instance,Metric,Detail,Packet Loss > 500 Packets
Router Interfaces with Discards,10.0.34.252,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),53.0,Total Discards:53,False
Router Interfaces with Discards,10.32.35.254,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),79.0,Total Discards:79,False
Router Interfaces with Discards,10.0.67.254,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),769.0,Total Discards:769,True
Router Interfaces with Discards,10.0.66.254,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),2050.0,Total Discards:2050,True
Router Interfaces with Errors,10.0.68.254,Name:DESCR: X6 NAME: X6 (Portshielded To X0) - Descr:X6 (Portshielded To X0),12086.0,Total Errors:12086,True
Virtual Switch Input Packet Loss,10.0.33.14,BioRx-PRINT01,17.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.27,BioRx-KS,22.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.246,BioRx-APP02,22.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.50,MedPro_SAS,27.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.16,BioRx-DRvCenterVA,30.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.6,DSIG-DLOCR01,52.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.249,DSIGSVR02,64.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.5,DSIG-DLAPP01,70.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,unknown,BioRx-RDWEB01,88.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.33,BioRx-FAX01,95.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,169.254.2.180,OHBAEXCHAPPRD01,139.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.17,BioRx-vCenterVA,145.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.8,DSIG-RPT01,152.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.12,BioRx-RDSFARM01,157.0,vSwitch Receive Packets Dropped,False
Virtual Switch Input Packet Loss,10.0.33.247,BioRx-FIN02,229.0,vSwitch Receive Packets Dropped,False
