,Category,Problem Short Description,Device Name,Instance,Metric,Detail,Metric Description
61,Network,Critical Uplinks with Discards,ncgre-a0-st01,Name:DESCR: Port 1/9 NAME: 1/9 - Descr:1/9,8.0,Neighbor Device: H Total Discards:8,Packet Discards cause performance problems.
59,Network,Critical Uplinks with Discards,ncgre-a0-st01,Name:DESCR: Port 1/41 NAME: 1/41 - Descr:1/41,47.0,Neighbor Device: H Total Discards:47,Packet Discards cause performance problems.
60,Network,Critical Uplinks with Discards,ncgre-a0-st01,Name:DESCR: Port 1/13 NAME: 1/13 - Descr:1/13,50.0,Neighbor Device: H Total Discards:50,Packet Discards cause performance problems.
25,Network,Network Software Consistency,,YA.15.19,1.0,hpEtherSwitch.137,Software Versions on Family
26,Network,Network Software Consistency,,YA.15.19,1.0,hpEtherSwitch.138,Software Versions on Family
27,Network,Network Software Consistency,,WB.15.05,1.0,hpicfStacks.3,Software Versions on Family
22,Network,Network Software Consistency,,,2.0,,Software Versions on Family
23,Network,Network Software Consistency,,1.0.0.44,2.0,2848,Software Versions on Family
28,Network,Network Software Consistency,,WB.16.01,2.0,hpicfStacks.3,Software Versions on Family
29,Network,Network Software Consistency,,WB.16.02,2.0,hpicfStacks.3,Software Versions on Family
30,Network,Network Software Consistency,,WB.16.03,3.0,hpicfStacks.3,Software Versions on Family
24,Network,Network Software Consistency,,,16.0,enterprises.8741.1,Software Versions on Family
62,Network,Router Interfaces with Discards,10.0.34.252,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),53.0,Total Discards:53,Packet Discards cause performance problems.
63,Network,Router Interfaces with Discards,10.32.35.254,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),79.0,Total Discards:79,Packet Discards cause performance problems.
64,Network,Router Interfaces with Discards,10.0.67.254,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),769.0,Total Discards:769,Packet Discards cause performance problems.
65,Network,Router Interfaces with Discards,10.0.66.254,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),2050.0,Total Discards:2050,Packet Discards cause performance problems.
55,Network,Router Interfaces with Errors,10.0.68.254,Name:DESCR: X6 NAME: X6 (Portshielded To X0) - Descr:X6 (Portshielded To X0),12086.0,Total Errors:12086,Low Level packet loss causes performance problems.
